Lemma_Sense_Id;Example_Sentence_From;Example_Sentence_To
4972;The cost of petrol is very high.;Cena benzínu je velmi vysoká.
4973;She won an award in the history competition.;Získala cenu v dějepisné soutěži.
4974;That book's price is too high.;Cena těch knih je příliš vysoká.
4976;That quote is a little high.;Ta odhadovaná ( or: nabízená) cena je trochu vysoká.
4977;A valuable reward was offered to the winner of the contest.;Vítězi soutěže byla nabídnuta hodnotná cena.
4992;The government has the power to issue passports.;Vláda má pravomoc vydávat pasy.
5000;That wall is eight feet high.;Ta zeď má asi dva a půl metru.
5001;It is a high wall.;Ta zeď je vysoká ( or: velká).
5002;The basketball player is really tall.;Ten basketbalista je fakt vysoký.
5003;She is five feet, six inches tall.;Je asi metr sedmdesát vysoká.
5008;Bruce wants to find a job in the city.;Bruce si chce najít práci ve městě ( or: velkoměstě).
5009;I grew up in a town of about 10,000 people.;Vyrostl jsem v městečku s 10 000 obyvateli.
5010;Madrid is the capital of Spain.;Madrid je hlavní město Španělska.
5011;New York is the financial capital of the world.;New York je hlavním městem financí.
5014;The world's environment is fragile.;Životní prostřední naší Země je křehké.
5015;The world will not survive a nuclear war.;Svět ( or: lidstvo) nepřežije jadernou válku.
5016;The art world is a strange place.;Svět umělců je zvláštní.
5018;The doctor delivered over 40 babies last year.;Ten lékař loni pomohl přivést na svět 40 dětí.
5023;I need to find a new job.;Musím si najít novou práci.
5024;An apple picker does exhausting work, from sunrise until dusk.;Sběrači dělají vyčerpávající práci, od úsvitu do soumraku.
5025;I don't like this work. Can I do something different?;Ta práce se mi nelíbí. Mohu dělat něco jiného?
5026;The bank provides work for many people.;Banka dává práci mnoha lidem.
5027;This is his work. Yes, that building.;To je jeho pracoviště. Ano, tamta budova.
5028;The work was obviously well done.;Ta práce byla zjevně odvedena dobře.
5029;Lee was hired for a post in government.;Lee dostal místo ve státní správě.
5032;His work on the car was worth the result.;Výsledek ukázal, že práce ( or: námaha), kterou si s tím autem dal, se vyplatila.
5033;I have a paper on the French Revolution due on Friday.;V pátek musím odevzdat esej o francouzské revoluci.
5065;Do you want the green or the blue?;Chceš tu zelenou nebo tu modrou?
5066;Whose gloves are these?;Čí jsou to rukavice?
5073;My uncle wants to start his own business.;Strýček si chce založit vlastní podnik ( or: firmu, or: živnost).
5074;Mike works for a large company.;Mike pracuje pro jednu velkou společnost ( or: firmu).
5075;This bus line goes to many towns.;Tato autobusová společnost jezdí do mnoha měst.
5076;She ran a small advertising firm.;Měla malý reklamní podnik.
5081;Children, you should eat your green beans.;Děti, měly byste sníst své zelené fazole.
5085;I'll do the dishes, since you cooked.;Postarám se o nádobí, když ty jsi vařil.
5087;Multiply that number by three.;Vynásob to číslo třemi ( or: trojkou).
5088;I have three coins.;Mám tři mince.
5099;John is happy in the company of his friends.;John je šťastný ve společnosti svých přátel.
5100;In our society it is impolite to not thank your hosts.;V naší společnosti je nezdvořilé nepoděkovat hostitelům.
5101;The consultant firm assessed all the corporate assets.;Konzultantská firma ohodnotila všechna aktiva podniku.
5105;My uncle wants to start his own business.;Strýček si chce založit vlastní podnik ( or: firmu, or: živnost).
5106;Mike works for a large company.;Mike pracuje pro jednu velkou společnost ( or: firmu).
5107;This bus line goes to many towns.;Tato autobusová společnost jezdí do mnoha měst.
5108;The community was outraged by the murder.;Společnost ( or: veřejnost) byla tou vraždou zaskočena.
5109;She ran a small advertising firm.;Měla malý reklamní podnik.
5120;Can you give me something to eat?;Dáš mi prosím něco k jídlu?
5121;I'll give you five hundred dollars for that car.;Dám vám za to auto pět set dolarů.
5122;After three interviews she was given the job.;Po třech pohovorech ji tu práci dali.
5123;One cow provides enough milk for a family.;Jedna kráva dává dost mléka pro celou rodinu.
5124;Let me know the answer when you find out.;null
5125;She served hot dogs to the children for lunch.;Dětem dala k obědu ohřáté párky.
5126;She served the children their food.;Dala dětem jídlo.
5127;She gave back the book.;Vrátila tu knihu.
5128;She gave me a tie for my birthday.;Darovala mi k narozeninám kravatu.
5129;Could you give me that book over there, please?;Podej mi prosím támhletu knihu.
5130;Can you give that book to me?;Mohl bys mi podat tamtu knihu?
5131;Could I have another cup of tea, please?;Dal bych si ještě jednu kávu, prosím.
5132;I need to have my car fixed.;Musím si nechat opravit auto.
5133;"Let's name the song ""Furtive Mission"".";"Pojmenujme tu píseň ""Furtive Mission""."
5134;They are going to name the baby Michael.;Dají svému dítěti jméno Michael.
5135;Could you return that DVD I lent you?;Mohl bys vrátit to DVD, které jsem ti půjčila?
5136;She righted her affairs.;Dala si do pořádku své záležitosti.
5137;You need to bear left at the fork in the road.;Na rozcestí odbočte ( or: zahněte) doleva.
5138;Fixing the car really challenged me.;Oprava auta mi dala ( or: dávala) zabrat.
5139;The magazine featured her on the front page.;Časopis jí poskytl ( or: dával) prostor na obálce.
5140;They fired him for being late each morning.;Dali mu padáka, protože každé ráno chodil pozdě.
5141;For his years of service, they presented a gold watch to him.;Za léta věrné služby mu darovali ( or: věnovali) zlaté hodinky.
5142;He put his glass on the edge of the table.;Dal ( or: postavil, or: položil) svou sklenici na okraj stolu.
5143;He put all his affairs in order before leaving for Australia.;Než odjel do Austrálie, dal ( or: uvedl) všechny své záležitosti do pořádku.
5144;The chef topped the pie with cheese.;Šéfkuchař dal na vrch koláče sýr.
5145;What should I wear today?;Co si mám dne vzít na sebe?
5146;He expressed his dissatisfaction with the project.;Vyjádřil svou nespokojenost s tím projektem.
5147;The policeman fined him for driving too fast.;Policista jej pokutoval za příliš rychlou jízdu.
5148;The genie granted him a wish.;Džin mu poskytnul jedno přání. Džin slíbil, že mu splní jedno přání.
5149;The business leaders joined together to fight poverty.;Kapitáni průmyslu se dali dohromady za účelem boje proti chudobě.
5150;He joined the two puzzle pieces together.;Spojil dva dílky puzzle.
5151;They killed the project after the customer stopped paying.;Ukončili ten projekt, když zákazník přestal platit.
5152;He would usually lay the blame on his sister.;Obvykle sváděl vinu na svou sestru.
5153;In this game, you need to match each card with another card with the same design.;V této hře je cílem najít dvojice kartiček se stejným obrázkem.
5154;He signed that he would prefer to meet at seven o'clock that evening.;Udělal posunek, že by dával přednost ve schůzce ten večer v sedm hodin.
5155;You must yield at this intersection to let other traffic pass.;Na této křižovatce musíš pustit ostatní vozidla.
5156;Gather the people together so we can begin the musical program.;Shromáždi ty lidi, ať může muzikál začít.
5157;He lowered the box from the shelf.;Dal ( or: vzal) krabici dolů z poličky.
5158;Do you prefer apples or oranges?;Máš raději jablka nebo pomeranče?
5159;This food does not compare to dinner at a good restaurant.;Toto jídlo se nedá srovnat s večeří v dobré restauraci.
5160;I risked all my money in the casino.;Riskoval jsem v kasinu všechny své peníze.
5161;The team's forward scored at the last minute.;Útočník týmu skóroval v poslední minutě.
5162;The policeman ticketed me for speeding.;Policajt mě pokutoval za rychlou jízdu.
5163;"He titled his book, ""The American Dream"".";Dal své knize jméno „Americký sen“.
5177;Does he know that we've arrived?;Ví, že jsme přijeli?
5178;I know the answer.;Znám odpověď.
5188;Each cat has its own personality.;Každá kočka má svou vlastní osobnost.
5189;Each of them has his own car.;Každý z nich má své auto.
5190;Every child must learn how to read.;Každé dítě se musí naučit číst.
5191;They visit their grandparents every two weeks.;Navštěvují své prarodiče každé ( or: co) dva týdny.
5192;Everyone wants to come to the party.;Na ten večírek chce přijít každý.
5193;Anyone who wants a driving licence has to take a test.;Každý, kdo chce řidičský průkaz, musí projít testem.
5194;Everybody I know prefers chocolate to vanilla.;Všichni, které znám, mají čokoládu raději než vanilku.
5196;He gets paid in cash daily at that job.;V té práci mu platí každý den v hotovosti.
5200;I have already been to Paris.;Já už jsem ( or: jsem již) v Paříži byl.
5201;She was already married when I met her.;Když jsem ji potkal, byla už ( or: již) vdaná.
5202;Have you already finished your homework?;Dokončil jsi už ( or: již) domácí úkol?
5203;Have you eaten your dinner already?;Vy jste už ( or: již) večeřeli?
5204;Are we there yet?;Už jsme tam?
5208;Donna has many cousins.;Donna má mnoho bratranců a sestřenic.
5209;We heard much laughter coming from the room.;Slyšeli jsme z toho pokoje mnoho ( or: hodně) smíchu.
5210;How much does this sandwich cost?;Kolik stojí ten sendvič?
5211;There are a lot of people in there.;Je tam mnoho ( or: velké množství) lidí.
5216;It will take a great deal of effort on everyone's part to meet this goal.;null
5228;This soup is good.;Tato polévka je dobrá.
5229;Is that milk still good?;Je to mléko ještě dobré?
5230;He's a good man.;Je to dobrý člověk.
5231;Good answer!;Dobrá odpověď!
5232;She's great at crosswords.;Je skvělá na křížovky.
5233;Nancy really got a deal on those shoes.;Ty Nancyiny boty, to byla dobrá koupě!
5234;This cake is delicious.;Tento koláč je velmi dobrý ( or: chutný).
5235;With his glasses on, his vision was sharp.;Když měl na očích brýle, viděl dobře.
5247;This is her book, not mine.;To je její kniha, ne má.
5250;I watched TV instead of doing my homework.;Místo toho, abych psal úkoly, jsem se díval na televizi.
5251;This park is one of my favourite places.;Tento park je jedním z mých oblíbených míst.
5252;Are there any places left for tonight's concert?;Jsou ještě volná místa na dnešní koncert?
5253;She lost her place in the queue.;Ztratila své místo ve frontě.
5254;You can't buy that sofa. We have no room for it.;Nemůžeš koupit tu pohovku, nemáme na ni místo ( or: prostor).
5255;Lee was hired for a post in government.;Lee dostal místo ve státní správě.
5256;The ambulance arrived at the scene of the accident within 5 minutes.;Sanitka přijela na místo nehody do pěti minut.
5257;The outdoor amphitheatre was a great setting for the show.;Ten amfiteátr pod širým nebem byl skvělým místem pro tu show.
5258;Because of its height and width, the container had plenty of space for storage.;Díky své výšce a šířce měl ten kontejner velký úložný prostor.
5259;That space over there is a great place to put the tent.;Tamto místo je skvělé na stanování.
5260;I found a space on the countertop to cut the carrots.;Našel jsem si na lince místo na krájení mrkve.
5261;Stop! Here's a space to park in on the right.;Stůj! Můžeš zaparkovat tady vpravo, je tu místo.
5262;That's the spot where the murder took place.;To je ten flek, kde se stala ta vražda.
5263;I prefer to sit in the passenger's seat.;Raději sedím na místě spolujezdce.
5269;I don't want to do his work for him.;Nechci tu práci dělat za ( or: místo) něj.
5270;He sent a delegate to attend the ceremony in his place.;Poslal za sebe na tu ceremonii zástupce.
5271;Are there enough seats in the room?;Je v té místnosti dost židlí?
5293;The world's environment is fragile.;Životní prostřední naší Země je křehké.
5294;The leaders of this country work very hard.;Vedoucí představitelé tohoto státu ( or: této země) pracují velmi tvrdě.
5295;There are fifty states in the union.;Unie má padesát států.
5296;The Earth revolves around the sun.;Země se točí kolem Slunce.
5297;The ground here is rich in colour and minerals.;Půda je tady bohatá na barvy a minerály.
5298;Columbus sailed for over two months before seeing land.;Kolumbus se plavil přes dva měsíce, než poprvé uviděl zemi ( or: pevninu).
5299;The land here is rich and fertile.;Země ( or: půda) je zde úrodná.
5300;The land is flat in many parts of Ohio.;V mnoha částech Ohia je plochá země.
5301;The bomb fell to earth.;Bomba dopadla na zem.
5302;Farms are successful because the earth is so rich here.;Zemědělcům se daří, protože je zde tak úrodná půda.
5303;The coconut fell to the ground right beside us.;Kokos spadl na zem přesně vedle nás.
5307;Not that shirt, the other one.;Ne tu košili, tu druhou.
5308;Your seat is the second on the left.;Vaše sedadlo je druhé zleva.
5309;This is the second leg of our trip.;Toto je druhý úsek naší cesty.
5310;Marvin started a side job.;Marvin si našel druhé zaměstnání.
5311;I'd like another cup of coffee, please.;Dal bych si další ( or: ještě jeden) šálek kávy, prosím.
5312;When I must choose between coffee and tea, I prefer the latter.;Když si musím vybrat mezi kávou a čajem, vyberu si to později jmenované.
5321;At the time, we were just fifteen years old.;Tenkrát nám bylo teprve patnáct.
5322;Abby plans to be on holiday for a short period.;Abby plánuje být na krátkou dobu na dovolené.
5323;There is a thirty-day term for making payments.;Termín platby je třicet dnů.
5324;There was a ninety-minute gap between leaving the bar and arriving home.;null
5325;What did you do until then?;Cos dělal do té doby?
5326;It takes a substantial length of time to walk to the shops.;Dojít do obchodu trvá dlouhou dobu.
5348;I've been waiting all afternoon.;Čekám celé odpoledne.
5349;We played cards all the way to Paris.;Hráli jsme karty celou cestu do Paříže.
5350;He came in all covered in mud.;Přišel úplně ( or: celý) zablácený.
5351;It was cold here through March.;Celý březen tu bylo zima.
5352;She waited a full week before saying no.;Čekala celý týden, než řekla ne.
5353;I ate the whole hamburger.;Snědl jsem celý hamburger.
5354;We have paid the whole amount.;Zaplatili jsme celou částku.
5355;Don't worry about having dropped the plate, it's still whole.;Z toho talíře si nic nedělej, je celý ( or: nerozbitý).
5356;He ate the entire apple.;Snědl celé jablko.
5358;Airplanes are landing throughout the day.;Letadla přistávají po celý den.
5359;The collection was complete with the acquisition of the final missing book.;Po koupi poslední chybějící knihy byla sbírka úplná ( or: kompletní).
5360;I'm not sure I can pay the total amount.;Nejsem si jist, zda budu schopen zaplatit celou částku.
5366;It took three days for the letter to get here.;Ten dopis sem dorazil na tři dny.
5367;They spent all day painting the house.;Strávili celý den malováním domu.
5368;What day did I go to the bank? Tuesday?;Který den jsem byl v bance? V úterý?
5370;Good Friday is a religious holiday, but we still have to go to work.;Velký pátek je církevní svátek, ale do práce se musí.
5371;He gets paid in cash daily at that job.;V té práci mu platí každý den v hotovosti.
5387;I can't wear that pink dress! Have you got anything else?;V těch růžových šatech chodit nemůžu! Nemáte něco jiného?
5389;He and his brother are very different.;On a jeho bratr jsou od sebe velmi odlišní.
5390;How many other people are coming?;Kolik dalších lidí ještě přijde?
5391;That's another story, altogether.;Ale to už je úplně jinačí příběh.
5392;Can you put the bread in a separate bag?;Můžeš ten chléb dát do jiné ( or: oddělené) tašky?
5393;I cannot attend the meeting: I have a conflict.;Nemohu se té schůze účastnit, protože mám jiný závazek.
5394;I'll take the apples, but what else do you have?;Ta jablka si vezmu, ale co jiného ( or: dalšího) máte?
5405;Come here and read this.;Pojď sem a přečti si to.
5406;I'm going to London this summer.;V létě jedu ( or: pojedu) do Londýna.
5407;You'd better go. It's getting late.;Už bys měl jít, je pozdě.
5408;She is going to the bars tonight.;Večer jde do baru.
5409;Would you like to ride or walk?;Chceš tam jít nebo jet?
5412;Could you lead the way to the stadium, and I'll follow you?;null
5413;Does the car work?;Funguje to auto?
5414;He followed his wife into the house.;Sledoval svou ženu do domu.
5415;Follow the road until you reach the post office.;Pokračujte (or jděte, or: jeďte) po této ulici až k policejní stanici.
5416;The ship sank after hitting an iceberg.;Loď se potopila poté, co narazila na ledovec.
5417;The project is progressing on schedule.;Projekt pokračuje podle harmonogramu.
5418;Does that machine function as it is supposed to?;Funguje ( or: pracuje) ten stroj, jak má?
5419;Strive for success.;Jdi za úspěchem.
5460;Our work is not nearly done.;Naše práce ještě zdaleka není hotova.
5461;This is our house.;To je náš dům.
5462;He is going to give us thirty dollars for doing the job.;Dá nám za tu práci třicet dolarů.
5463;You should finish your homework before dinner.;Měl bys dodělat úkoly před večeří.
5464;The letter 'b' comes before the letter 'c'.;"Písmeno ""b"" je před písmenem ""c""."
5465;I went to the bank three days ago.;Byl jsem v té bance před třemi dny.
5466;He stopped at the store prior to going home.;Před odjezdem domů se zastavil v obchodě.
5469;They were recently married.;Před nedávnem se vzali.
5470;He yielded to the pressure of the others and changed the channel.;Podlehl ( or: neodolal) nátlaku ostatních a přepnul televizi.
5471;Millions flee hunger and persecution each year.;Každý rok před hladem a útiskem utečou ( or: uprchnou) milióny lidí.
5472;"I surrender; you win.";Vzdávám se, vyhrál jsi.
5473;He warned me that the train might be late.;Varoval mě, že vlak může mít zpoždění.
5502;I want to eat.;Chci jíst.
5503;I want to be a doctor.;Chci ( or: toužím) se stát lékařem.
5504;He chose to become an architect.;4p dok
5505;I wish complete happiness for my children.;Pro své děti si přeju naprosté štěstí.
5506;I wish he would stop talking.;Kéž by už přestal mluvit!
5507;I wish I were a princess.;Chtěla ( or: přála) bych si být princeznou.
5508;If you desire it enough, you can learn a new language.;null
5509;I intend to build my new house on this land.;Na tomto pozemku se chystám postavit svůj nový dům.
5512;I'll help the next person in line.;Pomohu dalšímu čekajícímu.
5513;The next thing to do after gathering firewood is to put it all in a dry place.;null
5514;There's more lasagne. Would anyone like seconds?;Lasagne ještě zbyly. Dá si někdo přídavek ( or: nášup)?
5515;I have yet another mosquito bite.;Mám další komáří štípnutí.
5516;I'd like another cup of coffee, please.;Dal bych si další ( or: ještě jeden) šálek kávy, prosím.
5517;First, Al ate one biscuit, then he ate another.;Nejdříve Al snědl jednu sušenku, a pak ještě jednu.
5518;We're going to take the next plane.;Poletíme dalším ( or: příští) letadlem.
5519;How many other people are coming?;Kolik dalších lidí ještě přijde?
5520;I'll take the apples, but what else do you have?;Ta jablka si vezmu, ale co jiného ( or: dalšího) máte?
5528;Multiply each number by two.;Vynásob každé číslo dvěma ( or: dvojkou).
5540;You can watch TV after you've eaten.;Můžeš se dívat na televizi, až se najíš.
5541;They read until bedtime.;Čtou, dokud není čas spát.
5542;You will want more once you try Thai food.;Až ( or: když) ochutnáš thajské jídlo, budeš si chtít přidat.
5543;You can pay for it once you get here.;Můžeš to zaplatit, jakmile ( or: až) se sem dostaneš.
5544;Everybody except you will be going on the trip.;Každý až na tebe na ten výlet půjde.
5554;I have to finish my homework.;Musím dodělat úkol.
5555;You need not go to so much trouble for me.;Nemusíš si kvůli mě dělat tolik starostí.
5556;I need to help my parents move.;Musím pomoci rodičům se stěhováním.
5557;I'm not sure how much, but I must drink over three glasses of water a day.;Nevím to přesně, ale denně vypiju alespoň tři sklenice vody.
5559;You must get a new driving licence.;Musíš si vyřídit nový řidičský průkaz.
5563;They bought a house on a lake.;Koupili dům u jezera.
5564;She wrote an email while watching TV.;Napsala e-mail během sledování televize.
5565;My wallet was stolen during the concert.;Během koncertu mi někdo ukradl peněženku.
5566;Given his reputation, I'm not sure we should hire him.;Vzhledem k jeho pověsti nevím, jestli ho máme přijmout.
5567;The boxer approached his opponent carefully.;Boxer se opatrně přiblížil k soupeři.
5568;She passed her driving test on her first attempt.;Udělala řidičák na první pokus.
5569;Stir all of the ingredients together with a spoon.;Smíchej všechny přísady lžičkou.
5581;What did you tell him?;Cos mu řekl?
5582;Tell me what he said.;Řekni mi, co povídal.
5583;Can you tell that I've put on ten pounds?;Řekl bys, že jsem přibral pět kilo?
5584;When I tell her, I'll put it in a way that won't upset her.;Když jí to budu říkat, podám to takovým způsobem, aby ji to nerozrušilo.
5585;He said that he was still angry.;Řekl ( or: říkal), že je pořád naštvaný.
5586;"My friend said ""hello"".";"Můj kamarád řekl ( or: pravil): ""Ahoj."""
5587;I say it's a bad idea.;Já říkám ( or: tvrdím), že je to špatný nápad.
5588;Dad says to come and eat dinner right now.;Táta řekl ( or: říkal), že máme jít hned jíst.
5589;What are you trying to suggest? That I need to lose weight?;Co tím chceš naznačit? Že bych měl zhubnout?
5604;The city has a big stadium.;Ve městě je velký stadion.
5605;The car accident made a big bang.;Nehoda způsobila velký rámus.
5606;That wall is eight feet high.;Ta zeď má asi dva a půl metru.
5607;It is a high wall.;Ta zeď je vysoká ( or: velká).
5608;They bought a large house.;Koupili si velký dům.
5611;The party was a great success.;Ten večírek byl obrovský úspěch.
5612;Beethoven's Ninth is one of the great pieces of music of its era.;Beethovenova Devátá je jedním z významných děl své éry.
5613;Churchill was one of Britain's great leaders.;Churchill byl jedním z nejvýznamnějších britských lídrů.
5614;Melville was a major influence in his writing.;Melville měl zásadní vliv na styl jeho psaní.
5631;Well, you never should swim after eating.;Člověk by nikdy neměl plavat po jídle.
5632;That man over there is the one that stole my purse.;Tamten člověk ( or: muž) je ten zloděj, který mi ukradl kabelku.
5633;Is man destined to repeat the mistakes of the past?;Je člověk předurčen k opakování všech svých omylů?
5634;Which person are you talking about? The mother or the daughter?;null
5635;Humans have populated the earth for thousands of years.;Člověk obývá zemi po tisíciletí. Lidé obývají zemi po tisíciletí.
5637;Only one individual turned up at opening time.;Při otevření se dostavil jen jeden jedinec.
5666;She can already count from one to ten.;Už umí napočítat od jedničky do desítky.
5667;Harry likes an omelette for breakfast.;null
5669;An uncle of mine is a doctor.;Jeden z mých strýců je lékařem.
5670;I just have one other thing to do.;Musím udělat ještě jednu věc.
5671;I like both books. I'd be happy with either.;Obě knihy se mi líbí. Byl bych spokojený s kteroukoli z nich.
5672;I'd like another cup of coffee, please.;Dal bych si další ( or: ještě jeden) šálek kávy, prosím.
5673;First, Al ate one biscuit, then he ate another.;Nejdříve Al snědl jednu sušenku, a pak ještě jednu.
5674;They met each other at the café.;Setkali se v kavárně.
5675;I just have a single beer left. Who wants it?;Mám už jen jediné pivo. Kdo ho chce?
5676;Steve and David? Neither is going to the movies tonight.;Steve a David? Ani jeden dnes do kina nejde.
5677;None have been as popular as Marilyn was.;Nikdo nebyl tak slavný jako Marilyn.
5688;I may be old, but I can still ride a bike.;Možná jsem starý, na kole však pořád jezdit umím.
5689;"The television is very expensive; however, it is worth it.";Ten televizor je velmi drahý, stojí však za to.
5690;We believe he is the thief. However, we have no evidence against him.;Myslíme si, že to ukradl on. Nemáme však žádné důkazy.
5691;It's a good idea. However, I don't think we have the money to fund it.;Je to dobrý nápad. Myslím si však, že na to nemáme dost peněz.
5692;There is a large cathedral in the centre of town.;V centru města je velký chrám.
5693;The butter is on the table.;Máslo leží na stole.
5694;This book costs ten dollars.;Tato kniha stojí ( or: má cenu) deset dolarů.
5695;The leaders of this country work very hard.;Vedoucí představitelé tohoto státu ( or: této země) pracují velmi tvrdě.
5696;The glass is sitting on the table.;Ta sklenice stojí na stole.
5697;The guard stands all day.;Hlídači stojí celý den.
5698;I stand in favour of the new law.;null
5699;In 1948, a Jewish state was founded.;V roce 1948 byl založen židovský stát.
5700;There are fifty states in the union.;Unie má padesát států.
5701;The article in the newspaper was fair and well balanced.;Ten novinový článek byl spravedlivý a vyvážený.
5704;That client is becoming quite a problem.;Ten zákazník se stává problémem.
5705;What ever became of Joe Hill? Do you know where he is now?;Co se stalo s Joem Hillem? Víte, kde je teď?
5706;A lot of things have happened since last year.;Od loňska se stalo ( or: přihodilo) hodně věcí.
5707;I didn't work hard for it, it just happened!;Nijak jsem na tom nepracoval, prostě to přišlo.
5708;The ex-congressman headed the investigation.;Vyšetřování vedl ( or: řídil) bývalý kongresman.
5709;What's the matter with your suitcase? Is the handle broken?;Co se stalo s tvým kufříkem? Má ulomené ucho?
5710;This problem has only occurred once.;Tento problém se přihodil jen jednou.
5711;That house is not worth the price that they are asking.;Ten dům nestojí za ty peníze, které za něj chtějí.
5712;Is it even worth doing?;Vyplatí se to vůbec?
5713;His political ideas are based on his conservative beliefs.;Jeho politické názory stojí na konzervativním přesvědčení.
5714;The student had an essay on Shakespeare due on Wednesday.;Student má ve středu odevzdat esej o Shakespearovi.
5734;I have already been to Paris.;Já už jsem ( or: jsem již) v Paříži byl.
5735;She was already married when I met her.;Když jsem ji potkal, byla už ( or: již) vdaná.
5736;Have you already finished your homework?;Dokončil jsi už ( or: již) domácí úkol?
5737;Have you eaten your dinner already?;Vy jste už ( or: již) večeřeli?
5738;We're out of sugar.;Už nemáme cukr.
5739;Are we there yet?;Už jsme tam?
5740;Regardless of what you think, I'm going to do it.;Ať už si o tom myslíš, co chceš, udělám to.
5749;He spilled all of the soup on the floor.;Rozlil všechnu polévku na zem.
5750;I can carry those suitcases for you.;Rád vám ty kufry vezmu.
5751;May I have a drink, please?;Mohl bych dostat něco k pití, prosím?
5752;You are welcome to use my washer if you have dirty clothes.;Můžeš použít mou pračku, máš-li špinavé oblečení.
5754;The prime minister can call an election whenever he wants to.;Předseda vlády může vyhlásit volby, kdy chce.
5755;Can I borrow your car tonight?;Můžu ( or: mohu) si dnes večer půjčit tvé auto?
5756;Such things can happen if you're not careful.;Takové věci se mohou stát, když si nedáváš pozor.
5757;I get to go to Paris this summer.;V létě budu mít možnost jet do Paříže.
5758;When Samantha was a girl, she could climb tall trees.;Když byla Samantha malá, uměla ( or: dovedla) vylézt na vysoké stromy.
5759;I'm not free to give you that information.;Nemohu vám tu informaci dát.
5760;This food does not compare to dinner at a good restaurant.;Toto jídlo se nedá srovnat s večeří v dobré restauraci.
5768;Somebody left their pen here.;null
5769;Our work is not nearly done.;Naše práce ještě zdaleka není hotova.
5770;This is our house.;To je náš dům.
5771;Each apartment has its own individual balcony.;Každý byt má svůj balkón.
5773;The pool lost its water through a leak.;null
5783;There are twelve months in a year.;Rok má dvanáct měsíců.
5784;This project will take at least a year to finish.;Dokončení toho projektu zabere nejméně rok.
5789;Jody takes care of her body by doing exercise.;Cvičením Jody pečuje o své tělo.
5791;The sale proceeded as planned.;Odbyt odpovídal plánu.
5801;Humans' principal needs are food, water and shelter.;Základními lidskými potřebami jsou jídlo, voda a příbytek.
5802;Food is a basic requirement.;Jídlo je základní potřeba.
5807;The new employee is an able young woman.;Tím novým zaměstnancem je jedna schopná ( or: zdatná) mladá žena.
5816;Saturday is considered the last day of the week in some countries.;V některých zemích týden končí sobotou.
5817;My sister creates art.;Moje sestra tvoří ( or: vytváří) umělecká díla.
5818;He formed a ladder out of bits of old wood.;Vytvořil ( or: vyrobil) žebřík z kousků starého dřeva.
5820;"You form the plural by adding an ""s"".";"Množné číslo tvoříš ( or: vytvoříš) přidáním ""s""."
5821;After underwater earthquakes, mountains formed.;Po podmořském zemětřesení se utvořily hory.
5822;I need to develop a verb conjugator.;Musím vytvořit program na časování sloves.
5830;The captain changed the ship's course.;Kapitán změnil kurz ( or: směr).
5833;He opened the door and walked into the room.;Otevřel dveře a vešel do místnosti.
5836;Winter is coming.;Zima se blíží.
5837;The deadline for this project is quickly approaching.;Uzávěrka projektu se rychle blíží ( or: přibližuje).
5842;We mustn't forget the point of the exercise.;Nesmíme zapomenout na smysl tohoto cvičení.
5843;I didn't grasp the point of what he was saying.;Unikl mi smysl toho, co říkal.
5844;I don't understand the meaning of his changed behaviour.;Nechápu, jaký smysl má ta jeho změna chování.
5845;Dogs have a keen sense of smell.;null
5846;Mel has a wonderful sense of humour.;Mel má báječný smysl pro humor.
5849;He thought hard, trying to find the meaning of the puzzle clue.;Usilovně přemýšlel nad významem ( or: smyslem) klíče k řešení hádanky.
5850;What is the meaning of 'lean'?;"Jaký je význam ( or: smysl) slova ""lean""?"
5851;What is the purpose of this trip to the store?;Jaký je účel ( or: smysl) téhle cesty do obchodu?
5852;My purpose in life is to serve others.;Smyslem mého života je sloužit jiným.
5853;That actor's sense of timing is amazing.;Ten herec má úžasný smysl ( or: cit) pro načasování.
5854;The aim of an army is to protect the people.;Úkolem ( or: smyslem) armády je ochrana lidí.
5855;Her taste as a decorator was unmatched.;Jejímu vkusu se ostatní dekoratéři nemohli rovnat.
5856;He has a good touch with the football.;Má cit ( or: smysl) pro fotbal.
5865;Manufacturers usually pitch their product at specific markets.;Výrobci své produkty obvykle nabízejí na specializovaných trzích.
5866;We stock a wide selection of musical instruments.;Nabízíme velký výběr hudebních nástrojů.
5869;The company marketed their new brand of toothpaste.;Firma nabídla svou novou značku zubní pasty.
5870;He bid one hundred euros for the painting at the auction.;Na aukci přihodil za tu kresbu na sto euro.
5873;She pointed us to the door.;Ukázala nám, kde jsou dveře.
5874;She pointed to show where we should stand.;Ukázala nám, kde máme stát.
5875;He showed his collection of postcards to his visitors.;Ukázal svou sbírku pohlednic svým hostům.
5876;He showed his daughter how to tie her shoes.;Ukázal své dceři, jak se zavazují boty.
5877;The thermometer reads 22 degrees.;Teploměr ukazuje dvacet dva stupňů.
5882;His conclusion proved false.;Jeho závěry se ukázaly jako chybné.
5883;The facts reveal the truth.;Fakta odkrývají ( or: ukazují) pravdu.
5884;He demonstrated how to operate the machine.;Předvedl, jak se ten stroj ovládá.
5901;We chose this painting especially for you.;Vybrali jsme tuto malbu speciálně pro tebe.
5902;The fire department is mainly responsible for fire prevention.;Tato hasičská stanice je odpovědná hlavně ( or: především) za požární prevenci.
5918;The company values its workers.;Podnik si cení svých zaměstnanců.
5922;He felt her hand on his shoulder.;Cítil její ruku na svém rameni.
